"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"CBHLands/777676339027439_3919213521540356";"13494";"12158";"1";"777676339027439_3919213521540356";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-27T03:45:10+0000";"2021-07-27T03:45:18+0000";"You are never too early... Never too late to start your investment journey.  Start your investment journey with us! . . . #cbhlands #srilanka #invest #investment #investinginland #investinrealestate #realestate #property #kurunegala #centralexpressway #money #mortgage #finance #bankloan #makemoney #nevertoolate #nevertooearly";"1";"0";"8";"8";"0";"0";"0";"0";"0";"777676339027439_3919213521540356"
"CBHLands/777676339027439_3919213521540356/777676339027439_3919213521540356";"13771";"13494";"2";"777676339027439_3919213521540356";"empty";"";"fetched (200)";"2022-08-01 22:57:27.468061";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919213521540356/777676339027439_3919213521540356";"14160";"13494";"2";"777676339027439_3919213521540356";"empty";"";"fetched (200)";"2022-08-01 23:00:55.242828";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3854092584719117";"13495";"12158";"1";"777676339027439_3854092584719117";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-26T03:18:24+0000";"2021-07-26T03:18:28+0000";"This is a quote by David Waronker. David Waronker is the President, Founder, Manager and Secretary of CBD Real Estate Investment LLC, a real estate development firm based out of Celebration, Florida. Do you agree with this statement?  We do! Mature Real Estate markets cost a lot more, and the returns aren't great. But when you select real estate that has ""potential"" or areas that are not so mature: they tend to be affordable. And the ""doubling rate"" is faster! . . . . #invest #wealth #mondaymotivation #monday #wealthmindset #money #cbhlands #motivation";"";"0";"5";"5";"0";"0";"0";"0";"0";"777676339027439_3854092584719117"
"CBHLands/777676339027439_3854092584719117/777676339027439_3854092584719117";"13772";"13495";"2";"777676339027439_3854092584719117";"empty";"";"fetched (200)";"2022-08-01 22:57:27.979262";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3854092584719117/777676339027439_3854092584719117";"14161";"13495";"2";"777676339027439_3854092584719117";"empty";"";"fetched (200)";"2022-08-01 23:00:55.959437";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919197248208650";"13496";"12158";"1";"777676339027439_3919197248208650";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-25T03:37:17+0000";"2021-07-25T03:37:21+0000";"මධ්‍යම අධිවේගී මාර්ගය  පිවිසුම් 5-6 ක් කුරුණෑගල දිස්ත්‍රික්කයේ දැනටමත් සංවර්ධනය වෙමින් පවතී.   1. නාකලගමුව පිවිසුම- නාරම්මල ප්‍රදේශයට පැමිණේ. (මීගමු-කුරුණෑගල මාර්ගයට එක් වෙන ලෙස)  2. පොතුහැර පිවිසුම - පොතුහැර ප්‍රදේශයට පැමිණේ. (කොළඹ -කුරුණෑගල මාර්ගයට එක් වෙන ලෙස). මෙම පිවිසුමෙන් මහනුවර අධිවේගී මාර්ගය ඉදිවේ.  3. දම්බොක්ක පිවිසුම- දම්බොක්ක ප්‍රදේශයට පැමිණේ. (කොළඹ-කුරුණෑගල මාර්ගයට එක් වෙන ලෙස)  4. කුරුණෑගල ප්‍රධාන පිවිසුම- තෙලියගොන්න ප්‍රදේශයට පැමිණේ. (කුරුණෑගල- නුවර මාර්ගයට එක් වෙන ලෙස)  5. මැල්සිරිපුර පිවිසුම - මැල්සිරිපුර ප්‍රදේශයට පැමිණේ. (කුරුණෑගල- දඹුල්ල මාර්ගයට එක් වෙන ලෙස)  6. රිදීගම පිවිසුම - රිදීගම ප්‍රදේශයට පැමිණේ. . . . #investinland #kurunegala #kurunegalarealestate #kurunegalalands #kurunegalaproperty #buyland #invest #investment #investing #investinland #money #wealth #srilanka #howto #mortgage #bankloan #finance #realestate #realestateinvestment #cbhlands #centralexpresswat #highwaynetwork #highway #narammala #dambokka #pothuhera #melsiripura #ridigama #rideegama";"1";"0";"7";"7";"0";"0";"0";"0";"0";"777676339027439_3919197248208650"
"CBHLands/777676339027439_3919197248208650/777676339027439_3919197248208650";"13773";"13496";"2";"777676339027439_3919197248208650";"empty";"";"fetched (200)";"2022-08-01 22:57:28.387999";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919197248208650/777676339027439_3919197248208650";"14162";"13496";"2";"777676339027439_3919197248208650";"empty";"";"fetched (200)";"2022-08-01 23:00:56.427499";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919186824876359";"13497";"12158";"1";"777676339027439_3919186824876359";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-24T04:06:03+0000";"2021-07-24T04:06:06+0000";"#kurunegala #riverfront #waterfront #river #water #landsale #srilanka #cbhlands #investinland #investment #investing #invest #money #wealth #finance #loan #mortgage #bankloan #buyland #landforsale #kurunegalalands #kurunegalarealestate #realestate #property";"5";"0";"11";"10";"0";"0";"1";"0";"0";"777676339027439_3919186824876359"
"CBHLands/777676339027439_3919186824876359/777676339027439_3919186824876359";"13774";"13497";"2";"777676339027439_3919186824876359";"empty";"";"fetched (200)";"2022-08-01 22:57:28.895873";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919186824876359/777676339027439_3919186824876359";"14163";"13497";"2";"777676339027439_3919186824876359";"empty";"";"fetched (200)";"2022-08-01 23:00:57.113140";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919147438213631";"13498";"12158";"1";"777676339027439_3919147438213631";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-23T04:53:39+0000";"2021-07-23T04:53:39+0000";"#EsalaPerahera #esalapoya #poyaday #srilanka #cbhlands #buddhism";"2";"0";"7";"5";"2";"0";"0";"0";"0";"777676339027439_3919147438213631"
"CBHLands/777676339027439_3919147438213631/777676339027439_3919147438213631";"13775";"13498";"2";"777676339027439_3919147438213631";"empty";"";"fetched (200)";"2022-08-01 22:57:29.442819";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3919147438213631/777676339027439_3919147438213631";"14164";"13498";"2";"777676339027439_3919147438213631";"empty";"";"fetched (200)";"2022-08-01 23:00:57.801470";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3908061439322231";"13499";"12158";"1";"777676339027439_3908061439322231";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-23T03:30:12+0000";"2021-07-23T04:55:33+0000";"Did you know?  උපන් බිමට ණය නැත්තෝ!  ඔබ දන්නවාද? ඔබ අද දකින, දියණු, යටිතල පහසුකම් සහිත, අධිවේගී මාර්ග පිවිසුම් බිහිවෙන කුරුණෑගල දිස්ත්‍රික්කයේ මැල්සිරිපුර, මෙලෙස දියුණු වීමට මෙවන් දියණියන් මහඟු උපකාරයක් වූ බව?  තමන්ගේ ජය රටටත්, තම ගමටත්!. . . #srilanka #olympics #olympicgames #sriyanikulawansa #Commonwealth #melsiripura #kurunegala #cbhlands #ceylonbrandhouse #games #sports #didyouknow #electricity #women #womenpower #female #empowerment #empowerwomen #challenge #win #wonderwoman #village #villagedevelopment #development";"";"0";"21";"20";"1";"0";"0";"0";"0";"777676339027439_3908061439322231"
"CBHLands/777676339027439_3908061439322231/777676339027439_3908061439322231";"13776";"13499";"2";"777676339027439_3908061439322231";"empty";"";"fetched (200)";"2022-08-01 22:57:29.880578";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
