"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"CBHLands/777676339027439_3747786128683097";"15058";"12158";"1";"777676339027439_3747786128683097";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-29T02:34:00+0000";"2021-05-29T02:34:04+0000";"කුරුණෑගල  ප්‍රධාන මාර්ග 5ක් + අධිවේගී මාර්ග සහිත සංධිස්ථානයක්!  මීගමු පාර  කොළඹ පාර  දඹුල්ල පාර  පුත්තලම පාර  නුවර පාර   මධ්‍යම අධිවේගී මාර්ගය   මෙම මහා මාර්ග පහට අමතරව, අධිවේගී මාර්ග පද්ධති 4 ක් කුරුණෑගලට එක්වෙනු ලැබේ.  1. මධ්‍යම අධිවේගී මාර්ගය - දැනට ඉදිවෙමින් පවතී. කොළඹ, ගම්පහ දිස්ත්‍රික්ක - කුරුණෑගල සිට දඹුල්ල දක්වා.   2. මහනුවර අධිවේගී මාර්ගය - ඉදිකිරීම් සඳහා මුල් ගල 2020 දෙසැම්බර් මාසයේදී තබන ලදී. කොළඹ, ගම්පහ දිස්ත්‍රික්ක - කුරුණෑගල (පොතුහැර) සිට මහනුවර දක්වා.  3. උතුරු අධිවේගී මාර්ගය- කොළඹ, ගම්පහ දිස්ත්‍රික්ක- කුරුණෑගල සිට යාපනය දක්වා.  4. නැගෙනහිර අධිවේගී මාර්ගය- කොළඹ, ගම්පහ දිස්ත්‍රික්ක- කුරුණෑගල සිට ත්‍රිකුණාමලය තෙක්. . . . . #kandy #negombo #dambulla #puttlam #colombo #road #centralexpressway #highway #srilanka #kurunegala #landsale #investinland #cbhlands";"";"0";"7";"7";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3747786128683097/777676339027439_3747786128683097";"40655";"15058";"2";"777676339027439_3747786128683097";"empty";"";"fetched (200)";"2022-08-05 15:39:30.345555";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3747780538683656";"15059";"12158";"1";"777676339027439_3747780538683656";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-28T01:31:00+0000";"2021-05-28T01:31:04+0000";"ඉඩමක්  මිලදී ගැනීමෙන් පසුව කළ හැකි දේ:  1. එම ඉඩම භාවිත කරමින් බැංකු ණයක් ගැනීමට අවශ්‍යනම්: එනම් පුද්ගලික හේතූන් මත හෝ ව්‍යාපාරයකට අවශ්‍ය මුදල් සඳහා- එලෙස එම ඉඩම භාවිතා කල හැක්කේ කෙසේද යන්න අපෙන් අසන්.  2. ඔබ කුරුණෑගල පදිංචි පුද්ගලයෙක් නොවේ නම්; ඉඩම ආරක්‍ෂා කල හැකි ක්‍රම - බාහිරව සහ නීතිමය වශයෙන්. ඒ ගැනද අපෙන් අසන්න.  3. කාබනිකව හෝ වෙනත් ආකාරයෙන් වග කිරීමට හිතන්නේ නම්: අප හා සතු සියලු දත්ත වැනි - අප ඔබට ලැබෙන්න සලස් වන්නම්.  . . . . #cbhlands #ceylonbrandhouse #aftersale #kurunegala #sandagala #kurunegalalandsale #kurunegalarealestate #property";"";"1";"9";"8";"1";"0";"0";"0";"0"
"CBHLands/777676339027439_3747780538683656/777676339027439_3747780538683656";"40656";"15059";"2";"777676339027439_3747780538683656";"empty";"";"fetched (200)";"2022-08-05 15:39:30.964084";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3747775032017540";"15060";"12158";"1";"777676339027439_3747775032017540";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-27T01:28:00+0000";"2021-05-27T01:28:04+0000";"කුරුණෑගල වියළි කළාපයට අයත් දිස්ත්‍රික්කයක්ද?  නැත!  ඇතමෙක් මෙලස සිතුවද, කුරුණෑගල අයත් වන්නේ ""අතරමැදි කළාපයටයි."" එනිසා වගාවන් සඳහා හෝ නිවාස සඳහා අවශ්‍ය  ජාල පහසුකම් කුරුණෑගල ඇත.  නළ ජල පද්ධතිය ව්‍යාප්ත වෙමින් පවතින් අතර ඒ සඳහා අවශ්‍ය ජලය විශේෂයෙන්ම ලබා ගන්නේ ශ්‍රී ලංකාවේ හය වෙනි දිගම ගඟ වන දැදුරු ඔයෙන්ය.   අප සමාගමෙන් ඒ ඒ ව්‍යාපෘති සඳහා ජාතික ජල සංවර්ධන සහ ජල ප්‍රවාහන මණ්ඩලයෙන් ලබා දෙන නීති රෙගුලාසිවලට අනුකූලව ජාල පහසුකම් ලබා දෙන්නෙමු. . . . #water #kurunegala #realestate #kurunegalalandsale #kurunegalarealestate #zone #Intermediate #cbhlands #ceylonbrandhouse";"";"0";"1";"1";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3747775032017540/777676339027439_3747775032017540";"40657";"15060";"2";"777676339027439_3747775032017540";"empty";"";"fetched (200)";"2022-08-05 15:39:31.676912";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3704226383039072";"15061";"12158";"1";"777676339027439_3704226383039072";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-26T01:17:00+0000";"2021-05-26T10:30:59+0000";"Vesak Poya Day";"2";"4";"26";"22";"3";"1";"0";"0";"0"
"CBHLands/777676339027439_3704226383039072/777676339027439_3704226383039072";"40658";"15061";"2";"777676339027439_3704226383039072";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.295665";"Facebook:/<post-id>/comments";"";"";"2021-05-26T04:07:08+0000";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3704226383039072/777676339027439_3704226383039072";"40659";"15061";"2";"777676339027439_3704226383039072";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.295665";"Facebook:/<post-id>/comments";"";"";"2021-05-26T06:04:53+0000";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3704226383039072/777676339027439_3704226383039072";"40660";"15061";"2";"777676339027439_3704226383039072";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.295665";"Facebook:/<post-id>/comments";"";"";"2021-05-26T10:30:59+0000";"";"🧘‍♂️🧘‍♂️🧘‍♂️🧘‍♂️";"";"";"";"";"";"";"";"";""
