"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"327158650971191_1557869387900105";"43771";"12157";"1";"327158650971191_1557869387900105";"data";"data.*";"fetched (200)";"2022-08-05 17:04:43.776570";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2021-01-28T16:02:48+0000";"2021-01-28T16:02:48+0000";"2 Bedroom brand new apartment available in Hokandara with pool, gym, etc  1150 sqft 15 Million.";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"327158650971191_1557869387900105/327158650971191_1557869387900105";"43892";"43771";"2";"327158650971191_1557869387900105";"empty";"";"fetched (200)";"2022-08-05 17:16:42.614498";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1556114671408910";"43772";"12157";"1";"327158650971191_1556114671408910";"data";"data.*";"fetched (200)";"2022-08-05 17:04:43.776570";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2021-01-26T09:10:40+0000";"2021-01-26T09:10:40+0000";"For all your real estate needs, we are there to help you. Get in touch with us today.";"";"0";"0";"0";"0";"0";"0";"0";"0"
"327158650971191_1557869387900105/327158650971191_1556114671408910/327158650971191_1556114671408910";"43837";"43772";"2";"327158650971191_1556114671408910";"empty";"";"fetched (200)";"2022-08-05 17:08:06.145155";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1556114671408910/327158650971191_1556114671408910";"43893";"43772";"2";"327158650971191_1556114671408910";"empty";"";"fetched (200)";"2022-08-05 17:16:43.022587";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1555381011482276";"43773";"12157";"1";"327158650971191_1555381011482276";"data";"data.*";"fetched (200)";"2022-08-05 17:04:43.776570";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2021-01-25T09:58:42+0000";"2021-01-25T09:58:42+0000";"We are urgently looking for a 10 perch bare land around Kotte, Pelawatte and Battaramulla. Ideally suited to housing projects.";"";"0";"1";"0";"1";"0";"0";"0";"0"
"327158650971191_1557869387900105/327158650971191_1555381011482276/327158650971191_1555381011482276";"43838";"43773";"2";"327158650971191_1555381011482276";"empty";"";"fetched (200)";"2022-08-05 17:08:06.554255";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1555381011482276/327158650971191_1555381011482276";"43894";"43773";"2";"327158650971191_1555381011482276";"empty";"";"fetched (200)";"2022-08-05 17:16:43.480883";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1553728888314155";"43774";"12157";"1";"327158650971191_1553728888314155";"data";"data.*";"fetched (200)";"2022-08-05 17:04:43.776570";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2021-01-23T07:09:31+0000";"2021-01-23T07:09:31+0000";"10 Perches of Land facing Havelock Road available for sale. Ideal for any type of business. Rs. 10 Million Per Perch (Negotiable)";"";"0";"0";"0";"0";"0";"0";"0";"0"
"327158650971191_1557869387900105/327158650971191_1553728888314155/327158650971191_1553728888314155";"43839";"43774";"2";"327158650971191_1553728888314155";"empty";"";"fetched (200)";"2022-08-05 17:08:06.965435";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1553728888314155/327158650971191_1553728888314155";"43895";"43774";"2";"327158650971191_1553728888314155";"empty";"";"fetched (200)";"2022-08-05 17:16:43.888297";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"327158650971191_1557869387900105/327158650971191_1552962371724140";"43775";"12157";"1";"327158650971191_1552962371724140";"data";"data.*";"fetched (200)";"2022-08-05 17:04:43.776570";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2021-01-22T04:57:32+0000";"2021-01-22T04:57:32+0000";"";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"327158650971191_1557869387900105/327158650971191_1552962371724140/327158650971191_1552962371724140";"43840";"43775";"2";"327158650971191_1552962371724140";"empty";"";"fetched (200)";"2022-08-05 17:08:07.368812";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
