post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
828739300530904_4959833790754747,Home Lands,2021-01-21T07:11:39+0000,2021-01-21T07:11:39+0000,"Confused about how to determine the value of your apartment? Read more about how to do just that, here: https://www.homelandsskyline.lk/5-tips-to-determine-your-apartments-value/",,0,5,5,0,0,0,0,0
828739300530904_4894695340601926,Home Lands,2021-01-17T00:30:01+0000,2021-01-18T09:44:43+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection. Call Us Now 071 0 444 111 Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot __ A New Way Of Living Combined With Golf & Health Care __ Common Features __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",3,1,18,15,3,0,0,0,0
828739300530904_4925381834199943,Home Lands,2021-01-14T00:30:00+0000,2021-01-14T00:30:03+0000,"Hope this Pongal brings you endless smiles, health and wealth. Happy Pongal!",4,0,10,10,0,0,0,0,0
828739300530904_4924559687615491,Home Lands,2021-01-13T05:37:36+0000,2021-01-13T05:37:36+0000,Confused between investing in a home of your own or renting an apartment? Here are a few few things to consider: https://www.homelandsskyline.lk/rent-or-buy-what-are-the-benefits-of-buying-as-opposed-to-renting/,,0,3,3,0,0,0,0,0
828739300530904_4924327310972062,Home Lands,2021-01-13T04:17:30+0000,2021-02-20T07:43:29+0000,Dreaming of living in a Resort Apartment? First time in Sri Lanka we are proudly introducing Green Resort Apartment Concept. Contact Us For More Details:  071 1 252 222  Ariyana Resort Apartments – Athurugiriya _ 50+ Resort Activities _ Lavish & Modern _ Dedicated Garden  Special Security System Introduced For All Our Apartments  __ Finger Print Identification Access Controls __ Face Detectors __ Vehicle Sensored Gates __ CCTV Surveillance Bank loan facilities can be arranged with leading banks. 14.1M Upwards Call Now: 071 1 252 222,3,2,16,15,1,0,0,0,0
828739300530904_4924201677651292,Home Lands,2021-01-13T03:37:10+0000,2021-01-18T11:27:57+0000,Home Lands Holding (Pvt.) Ltd and Home Lands Skyline (Pvt.) Ltd. is proud to announce that they are the first company in Sri Lanka that was awarded the highest grading as a registered property developer for maintaining the highest standards in real estate by CIDA for the year 2021.,21,17,3681,3631,36,9,5,0,0
828739300530904_4894680683936725,Home Lands,2021-01-13T00:30:00+0000,2021-02-15T09:02:13+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection. Call Us Now 071 0 444 111 Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot __ A New Way Of Living Combined With Golf & Health Care __ Common Features __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",,1,11,11,0,0,0,0,0
828739300530904_4924548957616564,Home Lands,2021-01-13T05:33:23+0000,2021-01-13T05:33:23+0000,Pick up some useful tips and tricks to keep in mind when you are planning to move into your new home here: https://www.homelandsskyline.lk/what-to-remember-when-moving-into-your-new-home/,,0,6,6,0,0,0,0,0
828739300530904_4915571505180976,Home Lands,2021-01-11T03:30:34+0000,2021-01-11T03:30:34+0000,,4,1,69,63,6,0,0,0,0
828739300530904_4894664540605006,Home Lands,2021-01-11T00:30:00+0000,2021-01-18T08:16:57+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection.  Call Us Now 071 0 444 111  Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot  __ A New Way Of Living Combined With Golf & Health Care __ Common Features  __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES  Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",2,0,12,9,3,0,0,0,0
828739300530904_4894684507269676,Home Lands,2021-01-09T00:30:00+0000,2021-01-18T08:17:17+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection.  Call Us Now 071 0 444 111  Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot  __ A New Way Of Living Combined With Golf & Health Care __ Common Features  __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES  Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",1,0,10,10,0,0,0,0,0
828739300530904_4903952009676259,Home Lands,2021-01-08T11:02:41+0000,2021-01-08T11:02:41+0000,Making an investment in a new home is exciting! Yet here are a few things to look into when choosing a location to invest in here: https://www.homelandsskyline.lk/what-to-remember-when-choosing-a-location-to-invest-in/,1,0,9,9,0,0,0,0,0
