post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
327158650971191_1557869387900105,Sky Line,2021-01-28T16:02:48+0000,2021-01-28T16:02:48+0000,"2 Bedroom brand new apartment available in Hokandara with pool, gym, etc  1150 sqft 15 Million.",1,0,0,0,0,0,0,0,0
327158650971191_1556114671408910,Sky Line,2021-01-26T09:10:40+0000,2021-01-26T09:10:40+0000,"For all your real estate needs, we are there to help you. Get in touch with us today.",,0,0,0,0,0,0,0,0
327158650971191_1555381011482276,Sky Line,2021-01-25T09:58:42+0000,2021-01-25T09:58:42+0000,"We are urgently looking for a 10 perch bare land around Kotte, Pelawatte and Battaramulla. Ideally suited to housing projects.",,0,1,0,1,0,0,0,0
327158650971191_1553728888314155,Sky Line,2021-01-23T07:09:31+0000,2021-01-23T07:09:31+0000,10 Perches of Land facing Havelock Road available for sale. Ideal for any type of business. Rs. 10 Million Per Perch (Negotiable),,0,0,0,0,0,0,0,0
327158650971191_1552962371724140,Sky Line,2021-01-22T04:57:32+0000,2021-01-22T04:57:32+0000,,1,0,0,0,0,0,0,0,0
327158650971191_1552210141799363,Sky Line,2021-01-21T05:24:47+0000,2021-01-21T05:24:47+0000,,,0,1,1,0,0,0,0,0
327158650971191_1549137685439942,Sky Line,2021-01-17T08:47:41+0000,2021-01-17T08:47:41+0000,"866 perches bare land for sale in Hikkaduwa. Ideal for a hotel, factory, villa etc. Rs. 150,000 per Perch.",1,0,0,0,0,0,0,0,0
327158650971191_1549132452107132,Sky Line,2021-01-17T08:41:28+0000,2021-01-17T08:42:13+0000,"HOUSE FOR SALE IN HORANA  _ 30.2 p land consisting of a complete house with 4 bedrooms and 1 bathroom in Horana, Kulupana _ Spacious living and dining area _ Annex for two people attached with 2 rooms and 1 attached",1,0,1,1,0,0,0,0,0
327158650971191_1549124685441242,Sky Line,2021-01-17T08:28:50+0000,2021-01-17T08:28:50+0000,"HOTEL FOR SALE Located in Hunupitiya. 182 perches in total. 5 storied building with 80+ Rooms, 2 Swimming Pools, 3 Restaurants with liquor license. 350 pax Reception Hall. Rs. 450 million (Negotiable after inspection).",2,0,0,0,0,0,0,0,0
327158650971191_1549121985441512,Sky Line,2021-01-17T08:24:34+0000,2021-01-17T08:24:34+0000,Nawala 18.5 perches commercial property with an old house facing Nawala - Rajagiriya Main Road. 8 Million Per Perch (Negotiable After Inspection). Please PM,1,0,1,1,0,0,0,0,0
