post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
777676339027439_3432484473546599,CBH Lands,2021-01-30T03:30:13+0000,2021-01-30T03:30:15+0000,"Hope you are enjoying the weekend.  If you have visited our properties by now, and if you liked what you saw... Make and offer :)  We are open today. 076 999 0002 . . . . . #lmao #letsmakeanoffer #offer #realetstate #weekend #saturday #enjoy #invest #money #cbhlands #ceylonbrandhouse #srilanka",,0,5,5,0,0,0,0,0
777676339027439_3411079652353748,CBH Lands,2021-01-25T02:33:45+0000,2021-01-25T02:33:47+0000,________ _______ ______ ________ _________ ______. _______ ________? . . . 076 999 0002 076 999 0007 . . . #kurunegalahighway #kurunegala #kurunegalalands #kurunegalalandsale #kurunegalaproperty #kurunegalarealestate #cbhlands #ceylonbrandhouse #landsale #investinland #invest #bankloan #buyland #highway,,0,3,3,0,0,0,0,0
777676339027439_3411051552356558,CBH Lands,2021-01-24T03:30:01+0000,2021-01-24T03:30:06+0000,________ _______ ______ ________ _________ ______. _______ ________?,1,1,8,7,1,0,0,0,0
777676339027439_3411019925693054,CBH Lands,2021-01-23T03:00:01+0000,2021-01-28T06:05:01+0000,"Mega City Minhettiya, #Kurunegala  Directly faces the main carpeted Gonagama-Thiththawella road. 1.6 km to Minhettiya 10 km to Pellandeniya 17 km Kurunegala Town Central 18 km to Kurunegala Highway exit   Clean #Deeds /Title: Verified by Pan Asia Bank, NSB, People’s Bank, Sanasa, RDB and Commercial Bank Sri Lanka.  #Water project developed by CBH Lands; Overhead water tank built according to Water Board regulations. #Electricity enabled. 30 Feet wide internal road facing blocks available. All government approvals obtained.   Easy payment installments available.  #Bank Loans: Please ask us how you can apply for a loan from your bank to purchase these lots. Right now (Jan 2020) Housing Loans are as low as 7%.",1,1,5,5,0,0,0,0,0
777676339027439_3411036589024721,CBH Lands,2021-01-22T02:30:04+0000,2021-01-22T02:30:06+0000,"Children. Future. Education. Investment. Savings.  Can you make a sentence with these put together?   Children are the future. And as parents, you may have big dreams for them. To give them the best education, to give them some sort of investment to kick start life or whatever it may be; for those dreams to come true- we must invest right now. Saving money in a bank account is not going to be enough.  Ask us about long-term investments. Invest in Real Estate: Invest with us! . . . . #children #education #invest #save #future #realestate #srilanka #bestlands #realestateinvesting #kurunegala #kurunegalarealestate #kurunegalalands #landsale #cbhlands #ceylonbrandhouse #kurunegalaproperty",,0,1,1,0,0,0,0,0
777676339027439_3411161102345603,CBH Lands,2021-01-21T02:30:43+0000,2021-01-21T02:30:45+0000,"CBH Lands ______ ___ _______ _____ ____, ______ _____ _____ __ ____ ____ __ ____  ____ ______ _____ ___ __ _____ _______.",,0,7,7,0,0,0,0,0
777676339027439_3413591208769259,CBH Lands,2021-01-20T02:40:00+0000,2021-02-25T07:16:54+0000,15 perch infrastructure developed land plots near highway exit.,2,3,8,8,0,0,0,0,0
777676339027439_3403733173088396,CBH Lands,2021-01-19T02:30:37+0000,2021-01-19T02:30:39+0000,"Nadee Ganga – Alakoladeniya, Kurunegala Bordering Maguru Oya  2.5 km to Aluth Malkaduwawa 6 km to Kurunegala City 10 km to the Main Kurunegala Central Highway Exit (Under construction)  All government approvals obtained.  Electricity and water facilities available.  ___ ____ - __________ , ________  _____ ___ _______  ___ ____ - __________ , ________  _____ ___ _______   _____ __________ 2.5 km  ________ _____ 6 km  ________ ______ _______ _______ ________ 10 km ___",,0,3,3,0,0,0,0,0
777676339027439_3398108636984183,CBH Lands,2021-01-18T02:30:30+0000,2021-01-18T02:30:33+0000,"_______ _____ ________ ___ ___ CBH Lands  ___________: ___, _______ ____ __. _____ ______ _______ _____ ___ __ __.  . . . . #kurunegalahighway #kurunegalalandsale #kurunegalarealestate #cbhlands #dambokka #narammala #ceylonbrandhouse #buylands #landsale",,0,6,6,0,0,0,0,0
777676339027439_3398054953656218,CBH Lands,2021-01-17T03:30:16+0000,2021-01-17T03:30:19+0000,______ _______ ______ ___ ___ _____: ___ _______ ___ __ 12 ____ ___ _____ ___.  ___ _______ _____ ________ ____ _______ ___ ____ ___________ ___ _____ _____.  076 999 0002 076 999 0007 0766 200 800 . . . . #kurunegalalandsale #kurunegalahighway #dambokka #narammala #investinland #buyland #landsale #landforsale #kurunegalarealestate #kurunegalaproperties #kurunegalarealestate #cbhlands #ceylonbrandhouse,1,0,7,7,0,0,0,0,0
